time,temp,humidity
2021-12-29 05:00:00,15.0,77.0
2021-12-29 05:30:00,15.0,77.0
2021-12-29 06:00:00,14.0,82.0
2021-12-29 06:30:00,14.0,82.0
2021-12-29 07:00:00,14.0,82.0
2021-12-29 07:30:00,14.0,82.0
2021-12-29 08:00:00,14.0,88.0
2021-12-29 08:30:00,14.0,88.0
2021-12-29 09:00:00,14.0,88.0
2021-12-29 09:30:00,14.0,88.0
2021-12-29 10:00:00,14.0,88.0
2021-12-29 10:30:00,14.0,88.0
2021-12-29 11:00:00,14.0,88.0
2021-12-29 11:30:00,15.0,82.0
2021-12-29 12:00:00,15.0,82.0
2021-12-29 12:30:00,15.0,82.0
2021-12-29 13:00:00,15.0,82.0
2021-12-29 13:30:00,16.0,77.0
2021-12-29 14:00:00,16.0,77.0
2021-12-29 14:30:00,16.0,77.0
2021-12-29 15:00:00,16.0,72.0
2021-12-29 15:30:00,16.0,72.0
2021-12-29 16:00:00,16.0,72.0
2021-12-29 16:30:00,16.0,72.0
2021-12-29 17:00:00,16.0,72.0
2021-12-29 17:30:00,16.0,72.0
2021-12-29 18:00:00,16.0,72.0
2021-12-29 18:30:00,16.0,72.0
2021-12-29 19:00:00,15.0,72.0
2021-12-29 19:30:00,15.0,77.0
2021-12-29 20:00:00,15.0,72.0
2021-12-29 20:30:00,15.0,72.0
2021-12-29 21:00:00,15.0,72.0
2021-12-29 21:30:00,15.0,72.0
2021-12-29 22:00:00,15.0,72.0
2021-12-29 22:30:00,15.0,72.0
2021-12-29 23:00:00,15.0,67.0
2021-12-29 23:30:00,15.0,72.0
2021-12-30 00:00:00,15.0,72.0
2021-12-30 00:30:00,15.0,67.0
2021-12-30 01:00:00,15.0,67.0
2021-12-30 01:30:00,15.0,72.0
2021-12-30 02:00:00,15.0,67.0
2021-12-30 02:30:00,15.0,67.0
2021-12-30 03:00:00,14.0,72.0
2021-12-30 03:30:00,14.0,72.0
2021-12-30 04:00:00,14.0,72.0
2021-12-30 04:30:00,14.0,72.0
2021-12-30 05:00:00,14.0,72.0
2021-12-30 05:30:00,14.0,72.0
2021-12-30 06:00:00,14.0,72.0
2021-12-30 06:30:00,14.0,77.0
2021-12-30 07:00:00,14.0,77.0
2021-12-30 07:30:00,14.0,77.0
2021-12-30 08:00:00,14.0,77.0
2021-12-30 08:30:00,15.0,72.0
2021-12-30 09:00:00,15.0,72.0
2021-12-30 09:30:00,15.0,72.0
2021-12-30 10:00:00,16.0,68.0
2021-12-30 10:30:00,17.0,63.0
2021-12-30 11:00:00,17.0,63.0
2021-12-30 11:30:00,17.0,63.0
2021-12-30 12:00:00,17.0,63.0
2021-12-30 12:30:00,17.0,63.0
2021-12-30 13:00:00,18.0,64.0
2021-12-30 13:30:00,18.0,64.0
2021-12-30 14:00:00,18.0,64.0
2021-12-30 14:30:00,18.0,64.0
2021-12-30 15:00:00,19.0,60.0
2021-12-30 15:30:00,18.0,64.0
2021-12-30 16:00:00,18.0,64.0
2021-12-30 16:30:00,18.0,64.0
2021-12-30 17:00:00,18.0,64.0
2021-12-30 17:30:00,18.0,64.0
2021-12-30 18:00:00,17.0,68.0
2021-12-30 18:30:00,17.0,68.0
2021-12-30 19:00:00,17.0,68.0
2021-12-30 19:30:00,17.0,68.0
2021-12-30 20:00:00,17.0,68.0
2021-12-30 20:30:00,16.0,72.0
2021-12-30 21:00:00,16.0,72.0
2021-12-30 21:30:00,16.0,72.0
2021-12-30 22:00:00,16.0,72.0
2021-12-30 22:30:00,16.0,72.0
2021-12-30 23:00:00,16.0,72.0
2021-12-30 23:30:00,16.0,72.0
2021-12-31 00:00:00,15.0,77.0
2021-12-31 00:30:00,15.0,77.0
2021-12-31 01:00:00,14.0,88.0
2021-12-31 01:30:00,14.0,94.0
2021-12-31 02:00:00,13.0,100.0
2021-12-31 02:30:00,13.0,100.0
2021-12-31 03:00:00,13.0,100.0
2021-12-31 03:30:00,13.0,100.0
2021-12-31 04:00:00,14.0,94.0
2021-12-31 04:30:00,14.0,88.0
2021-12-31 05:00:00,14.0,88.0
2021-12-31 05:30:00,14.0,88.0
2021-12-31 06:00:00,14.0,88.0
2021-12-31 06:30:00,14.0,88.0
2021-12-31 07:00:00,14.0,88.0
2021-12-31 07:30:00,14.0,94.0
2021-12-31 08:00:00,14.0,88.0
2021-12-31 08:30:00,14.0,88.0
2021-12-31 09:00:00,14.0,88.0
2021-12-31 09:30:00,14.0,88.0
2021-12-31 10:00:00,14.0,94.0
2021-12-31 10:30:00,15.0,88.0
2021-12-31 11:00:00,15.0,82.0
2021-12-31 11:30:00,15.0,82.0
2021-12-31 12:00:00,15.0,82.0
2021-12-31 12:30:00,16.0,77.0
2021-12-31 13:00:00,16.0,77.0
2021-12-31 13:30:00,16.0,77.0
2021-12-31 14:00:00,16.0,77.0
2021-12-31 14:30:00,17.0,77.0
2021-12-31 15:00:00,17.0,77.0
2021-12-31 15:30:00,17.0,77.0
2021-12-31 16:00:00,17.0,77.0
2021-12-31 16:30:00,17.0,77.0
2021-12-31 17:00:00,17.0,77.0
2021-12-31 17:30:00,16.0,82.0
2021-12-31 18:00:00,16.0,82.0
2021-12-31 18:30:00,16.0,82.0
2021-12-31 19:00:00,16.0,82.0
2021-12-31 19:30:00,16.0,82.0
2021-12-31 20:00:00,16.0,82.0
2021-12-31 20:30:00,16.0,82.0
2021-12-31 21:00:00,16.0,82.0
2021-12-31 21:30:00,16.0,82.0
2021-12-31 22:00:00,16.0,82.0
2021-12-31 22:30:00,16.0,82.0
2021-12-31 23:00:00,16.0,82.0
2021-12-31 23:30:00,16.0,82.0
